"","beta","s","t","invSelAdv"
"1",0,0.1,0.1,1.35380267349365e-05
"2",0,0.2,0.2,4.60112357990268e-05
"3",0,0.1,0.2,4.54323647198712e-05
"4",0,0.2,0.1,1.01418949988415e-05
"5",0.1,0.1,0.1,0.000374045542237626
"6",0.1,0.2,0.2,0.000786728630906496
"7",0.1,0.1,0.2,0.00217437236990916
"8",0.1,0.2,0.1,-0.000376524356600323
"9",0.2,0.1,0.1,0.000758452433666267
"10",0.2,0.2,0.2,0.00152734304079999
"11",0.2,0.1,0.2,0.00458472975859793
"12",0.2,0.2,0.1,-0.000872332111081115
"13",0.3,0.1,0.1,0.00123100444334204
"14",0.3,0.2,0.2,0.00240167386329747
"15",0.3,0.1,0.2,0.0075268718643982
"16",0.3,0.2,0.1,-0.00153302038472085
"17",0.4,0.1,0.1,0.00183438132100759
"18",0.4,0.2,0.2,0.00346639919369325
"19",0.4,0.1,0.2,0.011188854569736
"20",0.4,0.2,0.1,-0.00244037659187156
"21",0.5,0.1,0.1,0.00264252494540068
"22",0.5,0.2,0.2,0.00480836600451601
"23",0.5,0.1,0.2,0.0158363091061643
"24",0.5,0.2,0.1,-0.00373656970734599
"25",0.6,0.1,0.1,0.00379951313215884
"26",0.6,0.2,0.2,0.0065802982660389
"27",0.6,0.1,0.2,0.0218312395649157
"28",0.6,0.2,0.1,-0.00568395118168074
"29",0.7,0.1,0.1,0.00562843692077637
"30",0.7,0.2,0.2,0.00907769125663813
"31",0.7,0.1,0.2,0.0295697633859195
"32",0.7,0.2,0.1,-0.0087878551135196
"33",0.8,0.1,0.1,0.00900820377960725
"34",0.8,0.2,0.2,0.0129536684739714
"35",0.8,0.1,0.2,0.0391329449183838
"36",0.8,0.2,0.1,-0.0139747808442512
"37",0.9,0.1,0.1,0.0170033538734172
"38",0.9,0.2,0.2,0.0198641748501863
"39",0.9,0.1,0.2,0.0495247275968622
"40",0.9,0.2,0.1,-0.0225407154718073
