"","beta","r","h","sf","sm","invSelAdv"
"1",0,0.001,0,0.01,0.05,-0.000696092880306197
"2",0,0.001,0,0.05,0.01,-0.000124097317897624
"3",0,0.001,0.1,0.01,0.05,-0.00508598676360006
"4",0,0.001,0.1,0.05,0.01,-0.00100892283934068
"5",0,0.01,0,0.01,0.05,-0.000636979239355933
"6",0,0.01,0,0.05,0.01,-0.000126515413469247
"7",0,0.01,0.1,0.01,0.05,-0.00507066106957195
"8",0,0.01,0.1,0.05,0.01,-0.00101091521476275
"9",0,0.1,0,0.01,0.05,-0.000630731772176908
"10",0,0.1,0,0.05,0.01,-0.000126785586679473
"11",0,0.1,0.1,0.01,0.05,-0.00506450972394366
"12",0,0.1,0.1,0.05,0.01,-0.00101129593336827
"13",0,0.5,0,0.01,0.05,-0.000630175493933644
"14",0,0.5,0,0.05,0.01,-0.000126809764727403
"15",0,0.5,0.1,0.01,0.05,-0.00506380885373417
"16",0,0.5,0.1,0.05,0.01,-0.00101133304613134
"17",0.1,0.001,0,0.01,0.05,-0.00053215415041684
"18",0.1,0.001,0,0.05,0.01,-5.55788428416902e-05
"19",0.1,0.001,0.1,0.01,0.05,-0.00507828936548921
"20",0.1,0.001,0.1,0.05,0.01,-0.00100677618954769
"21",0.1,0.01,0,0.01,0.05,-0.000501290657775814
"22",0.1,0.01,0,0.05,0.01,-5.67933761489918e-05
"23",0.1,0.01,0.1,0.01,0.05,-0.00506529566325615
"24",0.1,0.01,0.1,0.05,0.01,-0.0010087863272775
"25",0.1,0.1,0,0.01,0.05,-0.000363945584292595
"26",0.1,0.1,0,0.05,0.01,-5.53250584317437e-05
"27",0.1,0.1,0.1,0.01,0.05,-0.00505593195882003
"28",0.1,0.1,0.1,0.05,0.01,-0.00100897641842673
"29",0.1,0.5,0,0.01,0.05,-0.00023858783506845
"30",0.1,0.5,0,0.05,0.01,-4.79043167653289e-05
"31",0.1,0.5,0.1,0.01,0.05,-0.00504977239446305
"32",0.1,0.5,0.1,0.05,0.01,-0.00100846491109834
"33",0.2,0.001,0,0.01,0.05,-0.000402321486869435
"34",0.2,0.001,0,0.05,0.01,-2.96568572202154e-05
"35",0.2,0.001,0.1,0.01,0.05,-0.0050706954081006
"36",0.2,0.001,0.1,0.05,0.01,-0.00100505820887528
"37",0.2,0.01,0,0.01,0.05,-0.000379702300611755
"38",0.2,0.01,0,0.05,0.01,-3.00825846908748e-05
"39",0.2,0.01,0.1,0.01,0.05,-0.00505979285881608
"40",0.2,0.01,0.1,0.05,0.01,-0.00100706196270201
"41",0.2,0.1,0,0.01,0.05,-0.000209649893208605
"42",0.2,0.1,0,0.05,0.01,-2.8631502462862e-05
"43",0.2,0.1,0.1,0.01,0.05,-0.00504806951240635
"44",0.2,0.1,0.1,0.05,0.01,-0.00100713070514131
"45",0.2,0.5,0,0.01,0.05,-0.000114479793229128
"46",0.2,0.5,0,0.05,0.01,-2.3038831591041e-05
"47",0.2,0.5,0.1,0.01,0.05,-0.00503949947051112
"48",0.2,0.5,0.1,0.05,0.01,-0.00100632730035305
"49",0.3,0.001,0,0.01,0.05,-0.000301646759745464
"50",0.3,0.001,0,0.05,0.01,-1.82775460071571e-05
"51",0.3,0.001,0.1,0.01,0.05,-0.00506322171375049
"52",0.3,0.001,0.1,0.05,0.01,-0.00100365934505504
"53",0.3,0.01,0,0.01,0.05,-0.000278731003824522
"54",0.3,0.01,0,0.05,0.01,-1.84320965542278e-05
"55",0.3,0.01,0.1,0.01,0.05,-0.00505415658357669
"56",0.3,0.01,0.1,0.05,0.01,-0.00100564338925296
"57",0.3,0.1,0,0.01,0.05,-0.000126723647785326
"58",0.3,0.1,0,0.05,0.01,-1.71608089394941e-05
"59",0.3,0.1,0.1,0.01,0.05,-0.00504083426934946
"60",0.3,0.1,0.1,0.05,0.01,-0.00100556949014965
"61",0.3,0.5,0,0.01,0.05,-6.49710979020333e-05
"62",0.3,0.5,0,0.05,0.01,-1.31015269073959e-05
"63",0.3,0.5,0.1,0.01,0.05,-0.00503183183546945
"64",0.3,0.5,0.1,0.05,0.01,-0.00100470235647296
"65",0.4,0.001,0,0.01,0.05,-0.000224201764642873
"66",0.4,0.001,0,0.05,0.01,-1.21693435542589e-05
"67",0.4,0.001,0.1,0.01,0.05,-0.00505588305974874
"68",0.4,0.001,0.1,0.05,0.01,-0.00100250287127209
"69",0.4,0.01,0,0.01,0.05,-0.000199652450206517
"70",0.4,0.01,0,0.05,0.01,-1.22155095794084e-05
"71",0.4,0.01,0.1,0.01,0.05,-0.00504841275248308
"72",0.4,0.01,0.1,0.05,0.01,-0.00100445939703257
"73",0.4,0.1,0,0.01,0.05,-7.97576982504372e-05
"74",0.4,0.1,0,0.05,0.01,-1.11044126671473e-05
"75",0.4,0.1,0.1,0.01,0.05,-0.00503376512365242
"76",0.4,0.1,0.1,0.05,0.01,-0.00100419100306201
"77",0.4,0.5,0,0.01,0.05,-3.98382745758246e-05
"78",0.4,0.5,0,0.05,0.01,-8.04731769519916e-06
"79",0.4,0.5,0.1,0.01,0.05,-0.00502595065203065
"80",0.4,0.5,0.1,0.05,0.01,-0.001003436619705
"81",0.5,0.001,0,0.01,0.05,-0.000164327678407817
"82",0.5,0.001,0,0.05,0.01,-8.41196636565428e-06
"83",0.5,0.001,0.1,0.01,0.05,-0.00504866260687126
"84",0.5,0.001,0.1,0.05,0.01,-0.00100153267502369
"85",0.5,0.01,0,0.01,0.05,-0.00013989666712945
"86",0.5,0.01,0,0.05,0.01,-8.40782794636206e-06
"87",0.5,0.01,0.1,0.01,0.05,-0.00504235424337348
"88",0.5,0.01,0.1,0.05,0.01,-0.00100340471652034
"89",0.5,0.1,0,0.01,0.05,-5.09504765057441e-05
"90",0.5,0.1,0,0.05,0.01,-7.4001946631923e-06
"91",0.5,0.1,0.1,0.01,0.05,-0.00502737337960663
"92",0.5,0.1,0.1,0.05,0.01,-0.00100304920932667
"93",0.5,0.5,0,0.01,0.05,-2.51570067394138e-05
"94",0.5,0.5,0,0.05,0.01,-5.08292441137652e-06
"95",0.5,0.5,0.1,0.01,0.05,-0.00502095352118625
"96",0.5,0.5,0.1,0.05,0.01,-0.0010023585513559
"97",0.6,0.001,0,0.01,0.05,-0.000117960821183275
"98",0.6,0.001,0,0.05,0.01,-5.86883244806838e-06
"99",0.6,0.001,0.1,0.01,0.05,-0.00504145529830991
"100",0.6,0.001,0.1,0.05,0.01,-0.0010007043367169
"101",0.6,0.01,0,0.01,0.05,-9.53942251425596e-05
"102",0.6,0.01,0,0.05,0.01,-5.83940749562476e-06
"103",0.6,0.01,0.1,0.01,0.05,-0.00503590114729816
"104",0.6,0.01,0.1,0.05,0.01,-0.00100243456945208
"105",0.6,0.1,0,0.01,0.05,-3.21182455980563e-05
"106",0.6,0.1,0,0.05,0.01,-4.92004141009155e-06
"107",0.6,0.1,0.1,0.01,0.05,-0.00502181066384904
"108",0.6,0.1,0.1,0.05,0.01,-0.00100209042513882
"109",0.6,0.5,0,0.01,0.05,-1.58155732833536e-05
"110",0.6,0.5,0,0.05,0.01,-3.16612334313869e-06
"111",0.6,0.5,0.1,0.01,0.05,-0.00501686895689812
"112",0.6,0.5,0.1,0.05,0.01,-0.001001469910431
"113",0.7,0.001,0,0.01,0.05,-8.14207655364298e-05
"114",0.7,0.001,0,0.05,0.01,-4.00004898629467e-06
"115",0.7,0.001,0.1,0.01,0.05,-0.00503431210440601
"116",0.7,0.001,0.1,0.05,0.01,-0.000999978000007299
"117",0.7,0.01,0,0.01,0.05,-6.1970479778223e-05
"118",0.7,0.01,0,0.05,0.01,-3.93503390150968e-06
"119",0.7,0.01,0.1,0.01,0.05,-0.00502931798581809
"120",0.7,0.01,0.1,0.05,0.01,-0.00100156434833457
"121",0.7,0.1,0,0.01,0.05,-1.93318774264148e-05
"122",0.7,0.1,0,0.05,0.01,-3.15577589554009e-06
"123",0.7,0.1,0.1,0.01,0.05,-0.00501703358852261
"124",0.7,0.1,0.1,0.05,0.01,-0.00100126324128027
"125",0.7,0.5,0,0.01,0.05,-9.56381094486812e-06
"126",0.7,0.5,0,0.05,0.01,-1.85588622068637e-06
"127",0.7,0.5,0.1,0.01,0.05,-0.00501341625344815
"128",0.7,0.5,0.1,0.05,0.01,-0.00100071629832591
"129",0.8,0.001,0,0.01,0.05,-5.16834537300275e-05
"130",0.8,0.001,0,0.05,0.01,-2.47787630979411e-06
"131",0.8,0.001,0.1,0.01,0.05,-0.00502704307857939
"132",0.8,0.001,0.1,0.05,0.01,-0.000999305467883766
"133",0.8,0.01,0,0.01,0.05,-3.63858234551135e-05
"134",0.8,0.01,0,0.05,0.01,-2.38454061667205e-06
"135",0.8,0.01,0.1,0.01,0.05,-0.00502253882439908
"136",0.8,0.01,0.1,0.05,0.01,-0.00100072698313481
"137",0.8,0.1,0,0.01,0.05,-1.04723136294924e-05
"138",0.8,0.1,0,0.05,0.01,-1.81036139489902e-06
"139",0.8,0.1,0.1,0.01,0.05,-0.00501296145268611
"140",0.8,0.1,0.1,0.05,0.01,-0.00100052247345226
"141",0.8,0.5,0,0.01,0.05,-5.27226416100992e-06
"142",0.8,0.5,0,0.05,0.01,-9.44565782222925e-07
"143",0.8,0.5,0.1,0.01,0.05,-0.00501082483501525
"144",0.8,0.5,0.1,0.05,0.01,-0.00100014583467255
"145",0.9,0.001,0,0.01,0.05,-2.5789719660103e-05
"146",0.9,0.001,0,0.05,0.01,-9.80961074594999e-07
"147",0.9,0.001,0.1,0.01,0.05,-0.00501903468364795
"148",0.9,0.001,0.1,0.05,0.01,-0.000998595571693909
"149",0.9,0.01,0,0.01,0.05,-1.62016653828714e-05
"150",0.9,0.01,0,0.05,0.01,-9.02090733360664e-07
"151",0.9,0.01,0.1,0.01,0.05,-0.00501531584913937
"152",0.9,0.01,0.1,0.05,0.01,-0.000999793784724473
"153",0.9,0.1,0,0.01,0.05,-4.32385841653294e-06
"154",0.9,0.1,0,0.05,0.01,-6.95498197638938e-07
"155",0.9,0.1,0.1,0.01,0.05,-0.00500966721223095
"156",0.9,0.1,0.1,0.05,0.01,-0.000999830086612761
"157",0.9,0.5,0,0.01,0.05,-2.31050960589343e-06
"158",0.9,0.5,0,0.05,0.01,-3.1572168639447e-07
"159",0.9,0.5,0.1,0.01,0.05,-0.0050090259184082
"160",0.9,0.5,0.1,0.05,0.01,-0.000999747534837775
